County,Category,Taxonomic Group,Taxonomic Subgroup,Scientific Name,Common Name,Year Last Documented,NY Listing Status,Federal Listing Status,State Conservation Rank,Global Conservation Rank,Distribution Status
Yates,Animal,Mammals,Bats,Myotis septentrionalis,Northern Long-eared Bat,not available,Threatened,Threatened,S1,G2G3,Historically Confirmed
Yates,Animal,Mammals,Bats,Perimyotis subflavus,Tri-colored Bat,not available,not listed,not listed,S1,G3G4,Historically Confirmed
Yates,Animal,Other Animals,Other Animals,Apalone spinifera,Spiny Softshell,2021,Special Concern,not listed,S2S3,G5,Recently Confirmed
Yates,Animal,Other Animals,Other Animals,Chelydra serpentina,Snapping Turtle,1990,Game with open season,not listed,S4S5,G5,Recently Confirmed
Yates,Animal,Other Animals,Other Animals,Chrysemys picta,Painted Turtle,1990,Game with no open season,not listed,S5,G5,Recently Confirmed
Yates,Animal,Reptiles,Lizards,Plestiodon anthracinus,Coal Skink,not available,Game with no open season,not listed,S2S3,G5,Historically Confirmed
Yates,Animal,Reptiles,Snakes,Coluber constrictor,Racer,1990,Game with no open season,not listed,S4,G5,Recently Confirmed
Yates,Animal,Reptiles,Snakes,Crotalus horridus,Timber Rattlesnake,not available,Threatened,not listed,S3,G4,Extirpated
Yates,Animal,Reptiles,Snakes,Diadophis punctatus,Ring-necked Snake,1990,Game with no open season,not listed,S5,G5,Recently Confirmed
Yates,Animal,Reptiles,Snakes,Lampropeltis triangulum,Milksnake,1990,Game with no open season,not listed,S5,G5,Recently Confirmed
Yates,Animal,Reptiles,Snakes,Nerodia sipedon,Northern Watersnake,1990,Game with no open season,not listed,S5,G5,Recently Confirmed
Yates,Animal,Reptiles,Snakes,Opheodrys vernalis,Smooth Green Snake,1990,Game with no open season,not listed,S4,G5,Recently Confirmed
Yates,Animal,Reptiles,Snakes,Storeria dekayi,Dekay's Brownsnake,1990,Game with no open season,not listed,S5,G5,Recently Confirmed
Yates,Animal,Reptiles,Snakes,Storeria occipitomaculata,Red-bellied Snake,1990,Game with no open season,not listed,S5,G5,Recently Confirmed
Yates,Animal,Reptiles,Snakes,Thamnophis sirtalis,Common Gartersnake,1990,Game with no open season,not listed,S5,G5,Recently Confirmed
